t (s);sp (cm)
111;10
111,0467842;10
111,0935685;10
111,1512441;10
111,2140651;10
111,2843001;10
111,3635076;10
111,4540713;10
111,5593232;10
111,6841745;10
111,8361828;10
112;10
112,0496599;10
112,0993198;10
112,1620166;10
112,2305946;10
112,3080004;10
112,3962192;10
112,4984149;10
112,6191315;10
112,7653181;10
112,9481252;10
113;10
113,047349;10
113,0946981;10
113,1544191;10
113,2194709;10
113,2924889;10
113,3751713;10
113,4701909;10
113,5813177;10
113,7141908;10
113,8776333;10
114;10
114,0447332;10
114,0894664;10
114,1467827;10
114,2088774;10
114,2782691;10
114,3564183;10
114,4456345;10
114,5491214;10
114,6715831;10
114,8202203;10
115;10
115,0414198;10
115,0828396;10
115,1342727;10
115,1897291;10
115,2510101;10
115,3191852;10
115,3958614;10
115,4831986;10
115,5842357;10
115,7033958;10
115,8474025;10
116;10
116,0476931;10
116,0953862;10
116,1548169;10
116,2196275;10
116,2923299;10
116,3746196;10
116,469133;10
116,5795896;10
116,7115424;10
116,8736638;10
117;10
117,0512525;10
117,102505;10
117,1685548;10
117,2409392;10
117,3231655;10
117,4175288;10
117,5278025;10
117,6595001;10
117,8212571;10
118;10
118,2790003;10
118,6474412;10
119;10
119,0490105;10
119,098021;10
119,1638349;10
119,2355304;10
119,3169623;10
119,4102916;10
119,5192016;10
119,6490307;10
119,8081146;10
120;10
120,0644586;10
120,1289173;10
120,2124693;10
120,306216;10
120,4162107;10
120,5473825;10
120,7084308;10
120,9133683;10
121;10
121,0479682;10
121,0959364;10
121,161597;10
121,2329289;10
121,3139351;10
121,406713;10
121,5148965;10
121,6437328;10
121,8014001;10
122;10
122,2649763;10
122,6268644;10
123;10
123,3885417;10
123,7204046;10
124;10
124,0638561;10
124,1277121;10
124,211142;10
124,3046058;10
124,414254;10
124,5449443;10
124,7053054;10
124,9092069;10
125;10
125,0598643;10
125,1197286;10
125,2027552;10
125,2947844;10
125,4027404;10
125,5310668;10
125,6880687;10
125,8869189;10
126;10
126,0604363;10
126,1208725;10
126,2039807;10
126,2962392;10
126,4044707;10
126,5331797;10
126,6907247;10
126,8903897;10
127;10
127,0603624;10
127,1207248;10
127,2038468;10
127,296101;10
127,4043319;10
127,5330388;10
127,6905812;10
127,890242;10
128;10
128,0525705;10
128,1051411;10
128,1768247;10
128,2553458;10
128,3455239;10
128,450161;10
128,5742067;10
128,7250685;10
128,9147882;10
129;10
129,044247;10
129,088494;10
129,1476098;10
129,2114835;10
129,2831222;10
129,364063;10
129,4568477;10
129,5650196;10
129,6938453;10
129,851496;10
130;10
130,0561251;10
130,1122502;10
130,1843833;10
130,2641447;10
130,3557779;10
130,4623525;10
130,5890221;10
130,7435999;10
130,9388493;10
131;10
131,0480514;10
131,0961029;10
131,1583144;10
131,2260856;10
131,3025242;10
131,3895098;10
131,4901003;10
131,6086578;10
131,7518236;10
131,9301959;10
132;10
132,0540374;10
132,1080749;10
132,1801293;10
132,2593535;10
132,350385;10
132,4561505;10
132,5817249;10
132,7347486;10
132,9276816;10
133;10
133,0431365;10
133,0862731;10
133,1433895;10
133,2050053;10
133,2738484;10
133,3513092;10
133,439651;10
133,5419955;10
133,6629157;10
133,8093868;10
134;10
134,0529959;10
134,1059919;10
134,1724893;10
134,24569;10
134,3288961;10
134,4245291;10
134,536484;10
134,6704922;10
134,8355683;10
135;10
135,0486297;10
135,0972594;10
135,1597518;10
135,2279233;10
135,3048499;10
135,3924558;10
135,4938533;10
135,6134954;10
135,7581769;10
135,9387715;10
136;10
136,0431763;10
136,0863526;10
136,1419248;10
136,2019498;10
136,2688106;10
136,3438224;10
136,4290603;10
136,5273701;10
136,6428768;10
136,7817964;10
136,9539752;10
137;10
137,057921;10
137,115842;10
137,1886474;10
137,2695099;10
137,3625048;10
137,4708826;10
137,6000084;10
137,7580811;10
137,9585617;10
138;10
138,048923;10
138,0978461;10
138,1578324;10
138,2234437;10
138,297113;10
138,3806212;10
138,4767034;10
138,5892406;10
138,7240549;10
138,8902911;10
139;10
139,0463725;10
139,092745;10
139,1526128;10
139,2176424;10
139,2906661;10
139,3733497;10
139,4683719;10
139,5795018;10
139,7123795;10
139,8758284;10
140;10
140,0399105;10
140,079821;10
140,1306428;10
140,1852375;10
140,2455036;10
140,3124414;10
140,387585;10
140,4729824;10
140,5715003;10
140,6872846;10
140,8265894;10
141;10
141,0487207;10
141,0974414;10
141,1577139;10
141,2235877;10
141,2975955;10
141,3815271;10
141,4781561;10
141,5914203;10
141,7272373;10
141,8949209;10
142;10
142,0640976;10
142,1281952;10
142,2130381;10
142,3080522;10
142,4198244;10
142,5534084;10
142,7179286;10
142,9281094;10
143;10
143,0453163;10
143,0906327;10
143,1507348;10
143,2158183;10
143,2889464;10
143,3717541;10
143,4669376;10
143,5782811;10
143,7114524;10
143,8753231;10
144;10
144,0490441;10
144,0980881;10
144,1612918;10
144,2302817;10
144,308237;10
144,3971468;10
144,5002463;10
144,6221815;10
144,770079;10
144,9554085;10
145;10
145,0417787;10
145,0835575;10
145,1348065;10
145,1901267;10
145,2512325;10
145,3191961;10
145,3956095;10
145,4826137;10
145,5832174;10
145,7017954;10
145,8449891;10
146;10
146,0538842;10
146,1077684;10
146,1753429;10
146,2498522;10
146,3347146;10
146,4324839;10
146,5472822;10
146,6852163;10
146,8559657;10
147;10
147,0450548;10
147,0901097;10
147,1483499;10
147,2114584;10
147,2821091;10
147,361824;10
147,4530379;10
147,5591428;10
147,6851526;10
147,8388008;10
148;10
148,0502378;10
148,1004757;10
148,1641153;10
148,2337871;10
148,3125675;10
148,4025323;10
148,5070112;10
148,6308117;10
148,7813365;10
148,9705532;10
149;10
149,0514959;10
149,1029918;10
149,1640097;10
149,2311715;10
149,3067094;10
149,392583;10
149,491723;10
149,608338;10
149,7487971;10
149,9232159;10
150;10
150,0446135;10
150,0892271;10
150,1476248;10
150,2108197;10
150,2815932;10
150,3614584;10
150,452865;10
150,5592229;10
150,6855767;10
150,8397128;10
151;10
151,0481665;10
151,0963331;10
151,1572394;10
151,2236734;10
151,2984097;10
151,3832525;10
151,4810608;10
151,5958957;10
151,7338847;10
151,9047125;10
152;10
152,0467237;10
152,0934473;10
152,1543074;10
152,2204305;10
152,2948244;10
152,3792277;10
152,4764693;10
152,5905482;10
152,7274911;10
152,8968029;10
153;10
153,0490561;10
153,0981121;10
153,1619948;10
153,2316934;10
153,3105551;10
153,400614;10
153,5052182;10
153,629188;10
153,7799519;10
153,9695231;10
154;10
154,0515933;10
154,1031866;10
154,1645317;10
154,2320555;10
154,3080485;10
154,3944965;10
154,4943824;10
154,6119961;10
154,7538453;10
154,9302922;10
155;10
155,0484336;10
155,0968671;10
155,1608161;10
155,2304646;10
155,3092866;10
155,3992906;10
155,5038237;10
155,6276971;10
155,7783248;10
155,967694;10
156;10
156,0616991;10
156,1233983;10
156,1981361;10
156,2818904;10
156,3785191;10
156,4917287;10
156,6274852;10
156,7950765;10
